2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=CLNE accepted=47
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=STRO
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=STRO accepted=48
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=XWEL
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=XWEL accepted=49
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=OPRA
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=OPRA accepted=50
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=APAC
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT ticker=APAC reason=NO_DAILY_DATA
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=TSCO
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=TSCO accepted=51
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=NOEMU
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=NOEMU
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=BDTX
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=BDTX accepted=52
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=LMFA
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=LMFA accepted=53
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=QSIAW
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=QSIAW
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=CYPH
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=CYPH accepted=54
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=VRA
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=VRA accepted=55
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=RETO
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=RETO accepted=56
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=COLA
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=COLA accepted=57
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=AMWD
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=AMWD accepted=58
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=HSPT
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=HSPT accepted=59
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=TPST
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=TPST accepted=60
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=BIOX
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=BIOX accepted=61
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=SFD
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=SFD accepted=62
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=GRFS
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=GRFS accepted=63
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=SIMAW
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=SIMAW
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=EDBL
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=EDBL accepted=64
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=GAUZ
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=GAUZ accepted=65
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ASPC
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=ASPC accepted=66
2026-01-01 10:44:05 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=EXEEZ
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=EXEEZ accepted=67
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ARAY
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=ARAY accepted=68
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=DHCNI
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=DHCNI accepted=69
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=AFCG
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=AFCG accepted=70
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=WXM
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=WXM accepted=71
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=DENN
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=DENN accepted=72
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=OAKUU
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=OAKUU
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=QTRX
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=QTRX accepted=73
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ICFI
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=ICFI accepted=74
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=NVDA
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=NVDA accepted=75
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ENTG
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=ENTG accepted=76
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=NWE
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=NWE accepted=77
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=FNWD
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=FNWD accepted=78
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ACIW
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=ACIW
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=THFF
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=THFF accepted=79
2026-01-01 10:44:06 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=EXPO
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=EXPO accepted=80
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=CTAS
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=CTAS accepted=81
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=CIVB
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=CIVB accepted=82
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=ENPH
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=ENPH accepted=83
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=NXPL
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=NXPL accepted=84
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=MRAM
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=MRAM accepted=85
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=OCSAW
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=OCSAW
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=OAKUW
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=OAKUW
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=NGNE
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=NGNE accepted=86
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=AMIX
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=AMIX accepted=87
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=FBRX
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=FBRX accepted=88
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=MGRT
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=MGRT accepted=89
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=YHNA
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=YHNA accepted=90
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=MAXN
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=MAXN accepted=91
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=OMH
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=OMH accepted=92
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=LAKE
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=LAKE accepted=93
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=MTEKW
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT_NON_COMMON_STOCK ticker=MTEKW
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=HYNE
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_REJECT ticker=HYNE reason=NO_DAILY_DATA
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=NTES
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=NTES accepted=94
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=PHVS
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=PHVS accepted=95
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=CWBC
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=CWBC accepted=96
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=PSHG
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=PSHG accepted=97
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=AMLX
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=AMLX accepted=98
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=YTRA
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=YTRA accepted=99
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_TEST ticker=CBAT
2026-01-01 10:44:07 | DEBUG | backtest_v15.universe | UNIVERSE_ACCEPT ticker=CBAT accepted=100
2026-01-01 10:44:07 | INFO | backtest_v15.universe | UNIVERSE_SUMMARY requested=100 accepted=100 tested=122 rejected=22
