2025-12-31 16:59:49,096 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=ROAD interval=1d path=cache\cb84e66de57504b6781a815c.parquet
2025-12-31 16:59:49,096 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=ROAD interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:49,300 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=ROAD interval=1d
2025-12-31 16:59:49,300 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=WRAP interval=1d path=cache\ff5083ee8f4ab78769db6860.parquet
2025-12-31 16:59:49,301 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=WRAP interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:49,432 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=WRAP interval=1d
2025-12-31 16:59:49,432 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=AMPH interval=1d path=cache\cc5151b26937e4c664b278d5.parquet
2025-12-31 16:59:49,432 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=AMPH interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:49,643 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=AMPH interval=1d
2025-12-31 16:59:49,643 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=CZR interval=1d path=cache\5c782608434323cc2ce7d554.parquet
2025-12-31 16:59:49,643 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=CZR interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:49,856 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=CZR interval=1d
2025-12-31 16:59:49,856 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=WING interval=1d path=cache\9a7c606d54a7d087ca67b40d.parquet
2025-12-31 16:59:49,856 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=WING interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:50,049 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=WING interval=1d
2025-12-31 16:59:50,049 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=CIFR interval=1d path=cache\764551c6831dafa37dc8156a.parquet
2025-12-31 16:59:50,049 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=CIFR interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:50,226 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=CIFR interval=1d
2025-12-31 16:59:50,226 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=OBIO interval=1d path=cache\2876e84e76f26ba49ecf1135.parquet
2025-12-31 16:59:50,226 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=OBIO interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:50,348 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=OBIO interval=1d
2025-12-31 16:59:50,348 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=IPCX interval=1d path=cache\cfc05d47c2267e52284953c5.parquet
2025-12-31 16:59:50,349 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=IPCX interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:50,474 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=IPCX interval=1d
2025-12-31 16:59:50,475 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=LILAK interval=1d path=cache\903906d566f925ae0213af5a.parquet
2025-12-31 16:59:50,475 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=LILAK interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
2025-12-31 16:59:50,620 | WARNING | backtest_v15.data | DATA_MULTIINDEX_MISSING_TICKER ticker=LILAK interval=1d
2025-12-31 16:59:50,620 | DEBUG | backtest_v15.data | DATA_CACHE_CHECK ticker=KRKR interval=1d path=cache\c0027ba08daa794e43f6f943.parquet
2025-12-31 16:59:50,620 | DEBUG | backtest_v15.data | DATA_DOWNLOAD ticker=KRKR interval=1d start=2024-01-01 end=2025-12-31 lookback_days=None
